ID,Type,SKU,Name,Published,Featured,Catalog visibility,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Categories,Images,Tags
1,simple,PH-AD-001,Hexagonal Glass Honey Jar with Bamboo Lid,1,1,visible,"A stunning hexagonal borosilicate glass honey jar with a natural bamboo lid and handcrafted wooden honey dipper. BPA-free, dishwasher-safe, and elegantly designed for your kitchen counter.","Discover the perfect union of form and function with our Hexagonal Glass Honey Jar. Crafted from premium borosilicate glass that resists heat and breakage, the jar's geometric hexagonal shape is inspired by the natural beauty of the honeycomb itself. The tight-fitting bamboo lid keeps your honey fresh and protected while the included handcrafted wooden dipper ensures every serve is drip-free and graceful. Capacity: 350ml. Dimensions: 10cm x 10cm x 12cm. Dishwasher safe. BPA-free. Perfect for raw honey, wildflower honey, or flavoured honey.",taxable,,1,100,0,0,38.99,Artisan Dispensers,,artisan dispenser glass bamboo honey jar
2,simple,PH-AD-002,Amber Glass Honey Dispenser with Pump,1,1,visible,"Our most popular dispenser — an amber-tinted glass bottle with a no-drip pump mechanism. Perfect for daily use, keeps honey fresh and dispensing is effortless and mess-free.","The Amber Glass Honey Dispenser is engineered for the honey enthusiast who values elegance and precision. The warm amber glass not only looks stunning on any counter but also protects honey from UV light — preserving its natural enzymes and rich flavour. The innovative no-drip pump mechanism dispenses the perfect amount every time, with zero mess. The glass body is easy to clean and the pump is removable for thorough washing. Capacity: 500ml. Pump material: food-grade stainless steel. Amber UV-protective glass. Ideal gift for kitchen lovers.",taxable,,1,100,0,0,46.99,Artisan Dispensers,,dispenser pump amber glass honey
3,simple,PH-AD-003,Crystal Clear Honeycomb Jar & Dipper Set,1,0,visible,"A minimalist crystal-clear glass jar with a honeycomb-embossed base and a precision-turned acacia wood dipper. Clean, modern, beautiful.","The Crystal Clear Honeycomb Jar & Dipper Set is our most minimalist offering — a beautifully proportioned jar with a honeycomb texture embossed at its base, creating a stunning light effect when filled with golden honey. The precision-turned acacia wood dipper is balanced for effortless honey gathering and the cork lid seals with a satisfying press. 300ml capacity. Perfect for gifting or everyday use. BPA-free. Food-safe materials throughout.",taxable,,1,100,0,0,34.99,Artisan Dispensers,,honeycomb glass jar dipper set clear
4,simple,PH-AD-004,Rustic Ceramic Honey Pot with Wooden Spoon,1,0,visible,"A hand-thrown ceramic honey pot with a warm cream glaze and reactive drip glaze finish. Comes with a matching ceramic drip tray and carved wooden spoon.","Our Rustic Ceramic Honey Pot is handmade by skilled artisan potters. Each piece is unique — the reactive glaze creates slightly different patterns with every firing, meaning your pot is one of a kind. The wide mouth makes refilling easy while the generous ceramic drip tray catches any stray drips. Includes a beautifully carved wooden spoon. Holds 400ml. Microwave and dishwasher safe. Available in cream with honey-gold reactive glaze. The perfect centrepiece for any table.",taxable,,1,100,0,0,42.99,Artisan Dispensers,,ceramic honey pot rustic handmade
5,simple,PH-AD-005,Premium Acacia Wood Honey Crock Set,1,1,visible,"A sophisticated acacia wood honey crock with a tight-fitting lid and a matching wood-handled dipper. A statement piece for your kitchen counter.","Elevate your kitchen with the Premium Acacia Wood Honey Crock — a statement piece that combines natural warmth with practical elegance. The rich grain of sustainably sourced acacia wood gives each crock a unique character. The interior is lined with food-safe resin for easy cleaning while the natural wood exterior develops a beautiful patina over time. Includes matching dipper with acacia wood handle and stainless steel helix. Capacity: 450ml. Hand wash only. FSC certified wood.",taxable,,1,100,0,0,52.99,Artisan Dispensers,,acacia wood honey crock premium set
6,simple,PH-LG-001,Golden Harvest Honey Gift Box (3-Jar Set),1,1,visible,"A luxuriously presented gift box containing three artisan glass honey jars in different styles — the perfect gift for any occasion. Arrives in a premium gold-foil gift box with ribbon.","The Golden Harvest Gift Box is our signature gifting experience. Three handpicked artisan glass honey jars — our Hexagonal Jar, Crystal Clear Jar, and a miniature Amber Dispenser — are nestled in a premium rigid gift box lined with gold foil tissue paper and tied with a satin ribbon. A complimentary hand-written gift card is included. Each jar is filled with space for the recipient to fill with their favourite honey. This set makes a spectacular birthday, housewarming, wedding or thank-you gift. Beautifully boxed. Fast dispatch.",taxable,,1,50,0,0,79.99,Luxury Gift Sets,,gift box set honey jar gold luxury
7,simple,PH-LG-002,Artisan Bee & Honey Hamper,1,1,visible,"Our premium gift hamper featuring 5 honey accessories beautifully arranged in a hand-woven willow basket — a gift that will truly impress.","The Artisan Bee & Honey Hamper is our grandest gifting statement. A hand-woven willow basket contains: our Hexagonal Glass Honey Jar, Amber Glass Dispenser, Acacia Wood Dipper Set (3 pieces), Copper Bee Measuring Spoon Set, and a Linen Honey Bee Kitchen Towel. Each item is nestled in natural kraft paper shreds and the basket is tied with a generous gold ribbon. Perfect for weddings, housewarmings, corporate gifting, and special occasions. Free personalised gift card. Express shipping available.",taxable,,1,30,0,0,94.99,Luxury Gift Sets,,hamper gift set honey bee artisan basket
8,simple,PH-LG-003,Wildflower Honey Lovers Gift Set,1,0,visible,"A curated gift set for the honey lover: a glass dispenser, three wooden dippers, and a hand-illustrated wildflower honey recipe card in a kraft gift box.","The Wildflower Honey Lovers Gift Set celebrates nature's sweetest gift with a thoughtfully curated selection. The set includes our Crystal Clear Honeycomb Jar, a set of three different-sized acacia wood dippers (perfect for different honey viscosities), and a beautiful hand-illustrated wildflower recipe card booklet featuring 12 recipes using honey. All presented in a recyclable kraft gift box with a wildflower botanical print and tied with twine and dried lavender. The ideal gift for cooks, foodies, and nature lovers.",taxable,,1,50,0,0,67.99,Luxury Gift Sets,,wildflower honey gift set lovers recipe
9,simple,PH-LG-004,Honeymoon Brunch Box,1,1,visible,"A romantic gift set for two: matching his-and-hers honey dispensers, two artisan honey dippers, two ceramic honey bowls, and a recipe card — ideal for weddings and anniversaries.","The Honeymoon Brunch Box is our most romantic offering — designed for couples who share a love of beautiful mornings. The set contains two of our Crystal Clear Honeycomb Jars (one slightly larger), two hand-turned acacia dippers, two matching miniature ceramic honey bowls, and a recipe card for a honey-infused brunch menu. Everything is packaged in a luxurious two-tone gift box with a magnetic closure and gold ribbon. A favourite for wedding gifts, anniversary presents, and engagement gifts. Add a personalised message at checkout.",taxable,,1,40,0,0,89.99,Luxury Gift Sets,,honeymoon brunch gift set romantic couple
10,simple,PH-LG-005,The Beekeeper's Treasure Chest,1,1,visible,"Our ultimate luxury gift — a wooden keepsake chest packed with 7 premium honey accessories. The grandest gift for the most special occasions.","The Beekeeper's Treasure Chest is for when only the very best will do. A beautiful hinged wooden keepsake chest (which the recipient will treasure long after the contents are used) contains: Hexagonal Glass Honey Jar, Amber Glass Dispenser with Pump, Rustic Ceramic Honey Pot, Acacia Wood Honey Crock, Copper Bee Measuring Spoon Set, Acacia Wood Dipper Set (3 pieces), and a Linen Honey Bee Apron. A hand-written gift card and wax seal certificate of authenticity complete this extraordinary gift. Limited quantities. Ideal for weddings, milestone birthdays, and luxury corporate gifting.",taxable,,1,20,0,0,119.99,Luxury Gift Sets,,treasure chest honey luxury ultimate gift
